タイトル,フリガナ,著者,カテゴリ,タイプ,読了巻/P,全巻/P,ステータス,形態,評価,読了日,メモ,完結済み,次巻発売日,発売日
女帝［倉科遼］全24巻,じょてい,,manga,series,0,24,reading,,,,,false,,
女帝 由奈［倉科遼］,じょてい ゆな,,manga,series,0,11,reading,,,,,false,,
女優めし,じょゆうめし,,manga,series,0,9,reading,,,,,false,,
白い戦士ヤマト［高橋よしひろ］,しろいせんしやまと,,manga,series,0,26,reading,,,,,false,,
進撃の巨人［諫山創］,しんげきのきょじん,,manga,series,0,31,reading,,,,,false,,
震災風俗嬢,しんさいふうぞくじょう,,manga,series,0,2,reading,,,,,false,,
新宿スワン［和久井健］1-38(完),しんじゅくすわん,,manga,series,0,38,reading,,,,,false,,
新宿セブン,しんじゅくせぶん,,manga,series,0,7,reading,,,,,false,,
ストーカー行為がバレて人生終了男,すとーかーこういがばれてじんせいしゅうりょうおとこ,,manga,series,0,8,reading,,,,,false,,
スラムダンク［井上雄彦］全31巻,すらむだんく,,manga,series,0,31,reading,,,,,false,,
税金で買った本 [ずいの×系山冏],ぜいきんでかったほん,,manga,series,0,8,reading,,,,,false,,
制裁学園［栗原正尚］,せいさいがくえん,,manga,series,0,6,reading,,,,,false,,
セクシー田中さん[芦原妃名子],せくしーたなかさん,,manga,series,0,7,reading,,,,,false,,
善悪の屑 全05巻[渡邊ダイスケ],ぜんあくのくず,,manga,series,0,5,reading,,,,,false,,
葬送のフリーレン,そうそうのふりーれん,,manga,series,0,2,reading,,,,,false,,
蒼天航路［李學仁］,そうてんこうろ,,manga,series,0,36,reading,,,,,false,,
蒼天の拳 全22巻 原哲夫×武論尊,そうてんのけん,,manga,series,0,22,reading,,,,,false,,
園田の歌 [渡邊ダイスケ×永田諒],そのだのうた,,manga,series,0,6,reading,,,,,false,,
高嶺のハナさん［ムラタコウジ］,たかねのはなさん,,manga,series,0,5,reading,,,,,false,,
脱獄のカザリヤ,だつごくのかざりや,,manga,series,0,11,reading,,,,,false,,
タッチ［あだち充］全26巻,たっち,,manga,series,0,26,reading,,,,,false,,
チ。−地球の運動について−[魚豊],ち ちきゅうのうんどうについて,,manga,series,0,4,reading,,,,,false,,
チェンソーマン カラー版[藤本タツキ],ちぇんそーまん からーばん,,manga,series,0,11,reading,,,,,false,,
近野智夏の腐じょうな日常 [渡邊ダイスケ 大羽隆廣],ちかのともかのふじょうなにちじょう,,manga,series,0,7,reading,,,,,false,,
血の轍,ちのわだち,,manga,series,0,17,reading,,,,,false,,
